"Alt","WY","Q.S77","Q.S79","Q.C43","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI"
"ABNE",1966,401628.727010549,1223672.23817694,822043.511166392,13.2588841681702,219899.365870595,187351.311812673,252447.419928516,2199125.41179179,1982788.45701286,2415462.36657072
"ABNE",1967,899454.406839178,1721680.72101652,822226.31417734,15.4747116908994,244665.778400436,215154.976400244,274176.580400627,3032201.3363407,2836052.06651202,3228350.60616937
"ABNE",1968,390386.696277472,981471.014747007,591084.318469535,12.4642323300589,179832.885239143,152100.400330003,207565.370148284,1810549.24236796,1626219.90203261,1994878.58270331
"ABNE",1969,607233.267129488,1434669.7505582,827436.483428714,14.8373234951855,226069.152955733,202098.159496926,250040.14641454,2565151.41359922,2405823.55582083,2724479.27137761
"ABNE",1970,1697845.79263828,3014319.26642192,1316473.47378364,16.3299482298604,401875.670254163,353747.355691544,450003.984816781,5069776.33955598,4749882.16116391,5389670.51794804
"ABNE",1971,543378.959064228,749066.686372716,205687.727308487,15.7314981033588,92065.7339158397,9103.88800397627,175027.579827703,1529145.71392318,977723.712611753,2080567.7152346
"ABNE",1972,236511.935707347,895003.221644405,658491.285937057,11.8909718841506,184532.11735123,144197.553888095,224866.680814364,1658857.64604428,1390766.14612162,1926949.14596694
"ABNE",1973,100285.494441102,554875.345450252,454589.851009151,10.8984617219912,140799.799239503,96620.750369208,184978.848109797,1110163.9727941,816519.354881741,1403808.59070646
"ABNE",1974,181635.560917889,675281.586443041,493646.025525153,11.2664021715376,152445.257683849,112144.964802631,192745.550565066,1306282.4316741,1038418.71782175,1574146.14552644
"ABNE",1975,410460.292122045,1112925.27835452,702464.986232475,12.6575700104003,201844.500995569,170823.116821804,232865.885169334,2017142.75523772,1810953.10797841,2223332.40249702
"ABNE",1976,60656.6389734168,626008.507082573,565351.868109156,11.4577910268385,154866.800272464,112703.48744024,197030.113104688,1229082.26115278,948835.62381826,1509328.89848731
"ABNE",1977,213285.826920073,612639.046928235,399353.220008162,11.7022265752224,133282.226901328,101161.760728734,165402.693073922,1220730.33155729,1007235.42259921,1434225.24051538
"ABNE",1978,154535.396238426,470553.220376535,316017.82413811,11.0734812499754,116866.232466441,78468.3722236877,155264.092709195,986975.743205772,731756.916907842,1242194.5695037
"ABNE",1979,366512.023741478,1042297.87528435,675785.851542871,13.0850438317823,189644.969819247,164885.933996832,214404.005641662,1915667.70756082,1751101.97335281,2080233.44176883
"ABNE",1980,345123.323933861,1084474.97480304,739351.650869177,13.7578285426213,195126.534560509,170949.573400104,219303.495720914,1993375.80054128,1832678.9384818,2154072.66260077
"ABNE",1981,208284.38354746,548438.829750829,340154.44620337,12.4659631752222,115395.780183589,85588.6744229121,145202.885944267,1137916.22883974,939797.518591711,1336034.93908777
"ABNE",1982,50132.1399241886,235970.28142343,185838.141499241,9.21836619668114,96875.3580040021,35892.2340146168,157858.481993387,583699.997312422,178363.834563892,989036.160060952
"ABNE",1983,647923.701143099,2068313.09832538,1420389.39718228,14.3385631180928,349448.868044643,274043.786313727,424853.949775559,3528612.05767698,3027417.55531155,4029806.5600424
"ABNE",1984,526516.897288235,1342350.17960453,815833.282316296,16.2206772209413,206387.188236749,163349.897084047,249424.479389452,2448593.98229724,2162538.2785264,2734649.68606807
"ABNE",1985,508733.22414303,938026.603194432,429293.379051402,15.3981822491527,135515.279765122,79613.8280981177,191416.731432126,1810453.02666562,1438893.18472115,2182012.86861009
"ABNE",1986,352477.386105588,890453.085796788,537975.6996912,12.3545674791215,167094.059377994,139741.681800989,194446.436955,1666897.20554438,1485094.32232308,1848700.08876568
"ABNE",1987,266606.624966967,1220747.3926024,954140.767635434,12.4665748104063,240534.407429469,183241.770884555,297827.043974384,2171895.91933525,1791089.29724577,2552702.54142473
"ABNE",1988,220775.162637859,1001327.63096831,780552.468330453,12.5558183512614,202005.323176237,161283.511327197,242727.135025276,1835058.96308616,1564393.54165039,2105724.38452194
"ABNE",1989,369410.506223402,808105.673953531,438695.167730129,13.1160752973571,143215.062640698,116784.484499491,169645.640781905,1557216.21920516,1381540.25473921,1732892.18367112
"ABNE",1990,84267.2824150998,606425.145116003,522157.862700903,10.5421198737834,155429.149113889,101740.11886758,209118.179360198,1181078.89635094,824224.34253181,1537933.45017006
"ABNE",1991,70800.9181774363,516923.738827326,446122.82064989,11.0371768372736,135601.05004279,93805.8413880654,177396.258697515,1053470.9042967,775670.942780641,1331270.86581276
"ABNE",1992,346153.040580932,1192959.36230866,846806.321727733,13.4225626452211,218836.04033864,184926.106103637,252745.974573642,2152851.84553734,1927462.88999181,2378240.80108287
