"Alt","WY","Q.S80","Q.S308","Q.C44","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI","S80.TNFWM","S80.TPFWM"
"ABNE",1966,263834.816377064,130664.895491234,133169.92088583,13.2588841681702,63826.477411489,52261.983997044,77949.9534305804,475063.744996062,409669.762167212,550896.313693678,1.46034916182715,196.203022798593
"ABNE",1967,569064.036641135,358979.476880198,210084.559760937,15.4747116908994,119429.274668164,100289.536054434,142221.733282545,1087661.32408419,955642.4263334,1237918.20382811,1.55013481031055,170.21059031325
"ABNE",1968,152011.442921168,88953.4833065115,63057.9596146563,12.4642323300589,36749.2936590132,30502.8710973461,44274.8677698699,264820.607289502,230679.954703973,304014.079312513,1.41290323379906,196.069317951109
"ABNE",1969,412180.882769881,202339.30452318,209841.5782467,14.8373234951855,87976.742382647,71319.8446553427,108523.89314175,756953.01055427,647938.435506007,884309.108379574,1.48942280428782,173.107926812684
"ABNE",1970,1531280.33419812,1218773.96359305,312506.37060507,16.3299482298604,333991.157563886,231364.993848633,482139.028360723,3658747.11191411,2787476.6548052,4802347.09979135,1.93782525222799,176.895663830004
"ABNE",1971,268986.019792584,148082.493275994,120903.52651659,15.7314981033588,47944.8204131276,39141.434794302,58728.1947258023,466240.504036827,401177.280364432,541855.728736794,1.40577952735952,144.560256769069
"ABNE",1972,117609.713716696,59710.8930871086,57898.8206295876,11.8909718841506,28953.2908997442,23300.2816738627,35977.8077217654,202432.767843482,172341.643399066,237777.850370638,1.39596504538198,199.660274744005
"ABNE",1973,25115.2748855518,20099.2653482895,5016.00953726232,10.8984617219912,5051.21917813156,4019.05008206507,6348.46908213048,39564.035632966,33400.5085045954,46864.9426505362,1.27761373453013,163.115488469675
"ABNE",1974,34157.9644218563,20045.2158757776,14112.7485460787,11.2664021715376,7005.79591902775,5700.33192550568,8610.23131643545,54517.8962444494,46793.9173207171,63516.8240040607,1.29444627575643,166.342193312683
"ABNE",1975,184371.224761586,106654.441306722,77716.7834548641,12.6575700104003,45181.6481734206,37426.0451844927,54544.4040801991,325385.324983486,283011.570043119,374103.467566636,1.43133649571174,198.749411855948
"ABNE",1976,0,14336.6472201856,0,11.4577910268385,0,NA,NA,0,NA,NA,NA,NA
"ABNE",1977,65999.7984046255,57422.2301383824,8577.56826624318,11.7022265752224,14833.9619010812,12333.8410734044,17840.8676075143,109615.663765765,95606.1763153059,125678.007487532,1.34699794275029,182.285227103037
"ABNE",1978,88049.8467538084,48977.8750431986,39071.9717106098,11.0734812499754,22663.4362309888,17411.9412093513,29498.7983028706,150473.440897679,123778.996962109,182924.865860067,1.386015768237,208.753649755002
"ABNE",1979,270801.655921451,121593.76866529,149207.887256161,13.0850438317823,67084.8662438628,53426.8076714187,84234.4784407639,489460.964032196,413497.063185395,579380.258388709,1.46589771867515,200.913984180436
"ABNE",1980,258094.165652098,161930.336407138,96163.8292449607,13.7578285426213,58852.3047225683,50987.6018088971,67930.1172888986,461931.61781123,415358.181603702,513727.257543922,1.45156479145231,184.936319873244
"ABNE",1981,66627.4748636443,59263.4877592637,7363.98710438062,12.4659631752222,13630.0428889882,11886.9229791308,15628.7770587744,109329.12283701,98788.876475677,120993.957282761,1.33082034945279,165.913143450551
"ABNE",1982,0,7020.27138355791,0,9.21836619668114,0,NA,NA,0,NA,NA,NA,NA
"ABNE",1983,529874.792526537,297306.148634198,232568.643892339,14.3385631180928,125947.812667333,99748.1062024632,159029.099595014,1016972.51271267,855598.910607078,1208782.61857452,1.55658513457593,192.776589809083
"ABNE",1984,371314.42584092,178101.357682475,193213.068158445,16.2206772209413,65405.3794154685,51454.8588962424,83138.1865239902,657978.080140714,550837.00970788,785958.725204856,1.4371646522065,142.859317349848
"ABNE",1985,262720.986513638,135240.997059162,127479.989454477,15.3981822491527,48528.3322963083,40273.0660893962,58475.7820582471,456337.936029624,397457.795243004,523940.690941684,1.40873313879678,149.808868557256
"ABNE",1986,149584.88344844,89937.5342408355,59647.3492076048,12.3545674791215,36568.9009766803,30182.5403165753,44306.5595081093,260814.51043706,226243.606455744,300667.983153944,1.41410274647146,198.271879965228
"ABNE",1987,182493.573757609,93321.5743501476,89171.9994074615,12.4665748104063,45593.5527749761,36947.8755428855,56262.2890788862,322304.574002347,275813.401944279,376632.308983378,1.43237197828294,202.624885443806
"ABNE",1988,139669.248852663,68144.7434231293,71524.5054295339,12.5558183512614,32710.1597075615,27259.8440903574,39250.207908293,240829.949905726,210409.008261614,275649.152338007,1.39844896303042,189.941030762599
"ABNE",1989,168320.328018245,95974.8005685595,72345.5274496853,13.1160752973571,38223.4888068645,32786.2926187211,44562.3759160328,292402.989542251,260982.984752463,327605.68040227,1.40890646882665,184.175000144219
"ABNE",1990,10005.4544651481,23962.7674710485,0,10.5421198737834,1716.20858173327,1301.60009060407,2262.88544175499,14998.9141966642,12220.4662062099,18409.0707574294,1.21579379976582,139.113786866003
"ABNE",1991,37106.4732980913,22721.6250839021,14384.8482141892,11.0371768372736,7978.45620380983,6374.59333677411,9985.85478839736,59787.9086734212,50629.5610178016,70602.9037519112,1.30677436432087,174.383788717976
"ABNE",1992,260588.090703727,126154.385213038,134433.705490688,13.4225626452211,61573.435760505,50825.1818570064,74594.6763558977,467185.429287201,405288.917707163,538534.89647099,1.45402424754169,191.635404247993
"ABNE",1993,419554.608936793,189603.986154583,229950.62278221,14.5485077806777,92780.6785290391,72924.2859564193,118043.724328728,774182.281670122,647679.039146934,925393.858725733,1.49655145911259,179.351895693802
"ABNE",1994,249905.323262141,163330.417127783,86574.9061343578,14.4811233374734,51772.9584952776,45274.3324770054,59204.3898762089,440802.027312985,399105.440001311,486854.870438748,1.43055644881834,168.021322636149
"ABNE",1995,788981.666457051,547332.137376202,241649.52908085,16.0297478871544,162946.647317851,135181.102364716,196415.100984252,1585258.1676344,1380365.90621275,1820563.26278479,1.62955870739923,167.500242799288
"ABNE",1996,1437321.27448487,1238435.31236987,198885.962115005,16.2742722179675,321089.38520562,226007.63187013,456172.17630494,3411964.60782843,2630394.31751237,4425763.24301198,1.92525201754278,181.179483884545
"ABNE",1997,188096.044854219,149930.533758963,38165.5110952554,14.8521182432086,35404.6351370676,29948.8254251739,41854.3355672054,322148.786942923,284583.921688339,364672.186373378,1.38903682684842,152.657231812677
"ABNE",1998,1121947.08293867,1038637.01545374,83310.0674849259,15.1804243474245,284309.68012864,206494.087265384,391449.437053203,2549093.21396028,2011368.89742744,3230574.07408914,1.84268146103388,205.520996210097
"ABNE",1999,279398.092844989,168750.396316929,110647.69652806,15.761541829191,50124.5786634488,41063.7846911543,61184.6522449131,486827.512117388,419974.104482107,564322.952355989,1.41315109591652,145.500411352115
"ABNE",2000,330329.555416099,222503.091023825,107826.464392275,14.9310479767528,68182.3954012958,59370.2640627524,78302.4821608504,595930.678925896,537857.80243354,660273.723795168,1.46313781324724,167.402425210292
"ABNE",2001,16296.2317860385,34609.944690438,0,11.7656482290645,2668.92734982377,2186.82773132499,3257.30879328177,24701.8017354723,21312.1655475367,28630.5494210609,1.22935797213088,132.827036249437
"ABNE",2002,109169.806778607,73254.0377689963,35915.769009611,11.4732472371084,28018.0393659122,22095.5075295469,35528.060573402,188617.547531985,158188.221778892,224900.30444054,1.40125274211429,208.147942775541
"ABNE",2003,218640.022016635,190023.718879538,28616.303137097,13.0191832970162,53677.0748236943,45679.1313786738,63075.3754431862,392701.544981036,348457.343104252,442563.505927767,1.45669916364473,199.111388793611
"ABNE",2004,266275.418449224,175046.396001521,91229.0224477031,14.3609454990181,56697.0967993767,49715.7320215359,64658.8243754593,473702.754309957,429761.11149137,522137.283808996,1.44281868340444,172.689792940077
"ABNE",2005,349492.813367787,218217.343438432,131275.469929355,13.8386835372561,83324.7604462451,70849.5182662724,97996.6536586788,644944.248446657,571923.451018455,727288.036298761,1.49665205990354,193.362720364126
"ABNE",2006,1158509.9558573,989579.799742896,168930.156114402,16.2083082063631,254141.018237866,195817.392908235,329836.16108732,2581192.37353075,2127831.87667199,3131146.84586537,1.80699739441579,177.914735251533
"ABNE",2007,81177.0195381875,91221.8076040746,0,12.3137898556846,17698.4859359576,15242.7692690068,20549.8357219245,135958.287877877,121715.046176552,151868.290924945,1.35834318563994,176.823481249238
"ABNE",2008,0,2272.37494149445,0,9.72986104076768,0,NA,NA,0,NA,NA,NA,NA
"ABNE",2009,200028.272900005,151085.945634698,48942.3272653074,12.6429626621748,50299.9992751469,41993.8273668298,60249.0910147013,357326.920909241,312604.377975437,408447.665491464,1.44880946758923,203.945213487215
"ABNE",2010,183893.399143976,114950.781130321,68942.6180136546,12.8822921403132,43867.3585159658,37097.9145993832,51872.057067064,323602.451177113,285813.63197989,366387.515117557,1.42719260084592,193.469392042322
"ABNE",2011,203556.355930587,153434.163087475,50122.1928431117,13.4649564568992,46298.5160925507,40444.4194769931,52999.959452788,359175.871297391,324946.78538282,397010.563961286,1.43106516364776,184.467273008369
"ABNE",2012,92167.6419114377,86078.9577736367,6088.68413780096,11.5197504693953,22820.0401324869,18406.2049099512,28292.3195844011,157574.864413307,134377.272115759,184777.064632496,1.3865814608331,200.805151893893
"ABNE",2013,227301.812323782,168849.63288492,58452.1794388628,12.6494114572401,58551.8219726642,48455.0014180503,70752.5695178592,410880.566811009,357120.972926026,472732.919603425,1.46605284852905,208.917316425612
"ABNE",2014,269890.694261204,144702.239372541,125188.454888663,14.6517370292188,55119.8031844973,47249.070797812,64301.6392025725,476361.456266608,424973.887163669,533962.777174236,1.43148112904342,165.636738777277
"ABNE",2015,322168.927087041,238820.485208417,83348.4418786241,14.8463835065904,67244.0658294946,58750.2036671111,76965.9355549218,582101.01216151,526684.781779,643347.976022656,1.46538461323061,169.28061855056
"ABNE",2016,283283.829553331,191191.995951663,92091.8336016685,14.8608711343394,57352.5667270908,49780.3367117791,66076.6304018808,503235.7101538,453118.800289025,558895.768201329,1.44074323878975,164.19805087767
"ECRE",1966,344233.39062439,190803.172342664,153430.218281726,13.0440918450699,89995.371969435,71220.901490793,113718.961798932,640702.687116238,538735.363986645,761969.532202724,1.50952557096696,212.033315901949
"ECRE",1967,1162144.18885655,952014.699131638,210129.48972491,14.5581303694357,311222.632663399,233474.477009936,414861.308706627,2650654.34045614,2142248.80283512,3279716.35380566,1.8498222783809,217.19412850264
"ECRE",1968,135478.841765123,99038.8537074082,36439.9880577145,11.8378467859172,34791.7421318487,27966.6691982071,43282.4270916987,236928.757709177,201538.373695151,278533.736282525,1.4183493878666,208.277148931375
"ECRE",1969,763754.782008467,538949.041184862,224805.740823605,14.1055565816796,200720.082195515,158981.109675779,253417.223459676,1577923.27507596,1327629.88588979,1875403.59590333,1.67559425712126,213.144341254185
"ECRE",1970,2354664.97079828,2042165.78668646,312499.184111821,15.5119340461405,600182.276928436,292423.568520489,1231839.03185889,6895875.66691686,4047992.10361912,11747330.5274141,2.37518380212329,206.724032064699
"ECRE",1971,287008.601016891,166103.990009747,120904.611007144,14.6857864851315,59175.3220477217,51062.9088935116,68576.5620355508,510202.011377247,457405.064427192,569093.15759188,1.44173080513649,167.217852532123
"ECRE",1972,47411.6188496646,36152.055361354,11259.5634883106,11.4670837012567,10199.9630279129,8403.88597518067,12379.8973567764,77167.8943935686,66852.3126760568,89075.2120123692,1.32004516054008,174.482042544967
"ECRE",1973,72414.3170926542,41453.7732012942,30960.54389136,10.694893687474,18767.5865241042,14120.3797087615,24944.2515856133,122825.523133439,99482.3680653472,151646.059763005,1.37562831526267,210.194288394374
"ECRE",1974,27195.5936103246,15160.7067811998,12034.8868291247,11.2444643718306,5320.38007399766,4322.43187200066,6548.73112405806,42775.5226078619,36674.041347386,49892.1107996767,1.27565637818643,158.664964493588
"ECRE",1975,196686.515695984,98556.1398473835,98130.3758486004,12.6677442658877,48577.5914629755,39596.0824421505,59596.3602154674,348339.189323145,299382.056259242,405302.149148293,1.43636453440745,200.308009213467
"ECRE",1976,4467.5281586,18707.8793899605,0,11.4416082750093,571.525302095487,416.923813447845,783.455299024791,6273.09603601675,4965.91738069222,7924.3633875366,1.13881075806396,103.754056815839
"ECRE",1977,102301.741831629,80079.4929268912,22222.2489047373,11.6335075793401,25447.8662042457,20523.7223966343,31553.4327464586,175654.602175593,149784.366791173,205993.054725682,1.3925584342596,201.746155681176
"ECRE",1978,101003.027085226,72270.672546783,28732.3545384432,10.9898360593272,27136.5236934469,20641.3223492398,35675.5689245908,174994.490276727,142888.581167101,214314.337626457,1.4051636566163,217.89975673314
"ECRE",1979,319382.888949942,139657.609719209,179725.279230733,12.9006082960382,83222.1179737232,63337.3870913927,109349.646995045,588211.661930244,480488.679485722,720085.558729633,1.49368461946823,211.331406128536
"ECRE",1980,253278.606325616,151083.163477556,102195.442848061,13.7768622076817,57309.160389106,49478.763007845,66378.7787900749,451853.224553339,405253.232465945,503811.740863554,1.44689095415753,183.511151966056
"ECRE",1981,106759.953878798,91433.7500592758,15326.2038195225,12.4795761883326,24125.9621058523,20700.8528363306,28117.781046754,181495.857859316,162032.4567067,203297.210260264,1.37878091666036,183.279202842219
"ECRE",1982,0,7020.27141801184,0,9.21334211969083,0,NA,NA,0,NA,NA,NA,NA
"ECRE",1983,1219804.70601193,958225.381527237,261579.324484696,14.0682768033062,346112.029567663,244383.108829816,490187.466658626,2826703.83230285,2184249.50815186,3658123.54574655,1.87943333940177,230.1247410867
"ECRE",1984,1352493.48456182,1159280.57660223,193212.907959587,14.7378169230855,364003.73883999,255867.71704801,517840.716359812,3230728.65006432,2488178.66274654,4194878.67435734,1.93732384900379,218.27680401671
"ECRE",1985,432345.788344747,306189.65192623,126156.136418517,13.7465299338959,109005.559429083,92546.5945669549,128391.671698421,823491.360235302,729444.831306649,929663.20587596,1.54477324071408,204.481649020581
"ECRE",1986,90578.260254914,71238.7086412487,19339.5516136653,11.4333002272134,22518.2569651889,17988.8727410775,28188.0862713749,154599.848847645,130903.760548501,182585.383059787,1.38427384575378,201.626550098329
"ECRE",1987,225281.79116542,134975.959494149,90305.831671271,12.1011701352771,61623.3676473092,48049.4893153959,79031.8376802951,408913.254889616,340076.053050622,491684.282161231,1.47211596069927,221.848379774658
"ECRE",1988,156855.656523297,99333.7708138462,57521.8857094511,12.244878880866,39299.4118649579,32126.1142919947,48074.4032376315,275268.497003649,237088.449568037,319596.95033943,1.42328951537824,203.199572333133
"ECRE",1989,165160.934336454,93855.4792150833,71305.4551213706,12.7438151682311,39161.6491679396,32888.2762010265,46631.6554926317,288256.378561326,253283.45592678,328058.299257062,1.41549558303048,192.3049949426
"ECRE",1990,11237.0611118374,24713.8257890689,0,10.4599976533114,1998.5934649928,1516.88862045214,2633.26903798733,16990.9085041151,13851.0568643523,20842.5230379495,1.2263114460931,144.247615812536
"ECRE",1991,31726.3154888503,22895.403706899,8830.91178195131,10.9732744803719,6651.0342541173,5311.28693037146,8328.72658347378,50671.6167218868,42893.3848039272,59860.3433360828,1.29533483758479,170.02252804787
"ECRE",1992,338610.598070153,169245.577560432,169365.02050972,13.3377030695037,84704.6817025221,67259.4548199979,106674.713934677,624461.200448398,526386.871461763,740808.352196491,1.49569084768961,202.8821279656
"ECRE",1993,726296.259793413,491166.262585254,235129.99720816,14.5468411839704,178443.931545879,144089.289068215,220989.616309895,1471783.20042445,1256145.26327619,1724438.92627676,1.64348958827954,199.262189908637
"ECRE",1994,257949.066253036,174607.412307546,83341.6539454897,13.9111314467631,57854.3385764227,50672.423374813,66054.162583806,461227.733903969,418088.483988398,508818.182440283,1.45016819871675,181.902595603212
"ECRE",1995,1632508.99933195,1390776.11985095,241732.879480999,15.3158846125498,415042.022300905,269303.552240988,639649.491594814,4102889.93655976,2977959.77949532,5652764.6704403,2.03831455746058,206.192759029546
"ECRE",1996,2079684.45938593,1880914.59404774,198769.865338191,15.6315124935694,528929.66556457,278931.097254099,1002995.34138851,5798726.99927124,3609492.97377649,9315777.8824809,2.26137267315879,206.270633516815
"ECRE",1997,394675.825101024,357563.370044557,37112.4550564668,13.3548875444929,104770.922001134,87134.4646109956,125977.087780057,755815.35164712,659339.451490524,866407.803285634,1.55314537093664,215.296596133176
"ECRE",1998,1285085.42125431,1207450.61589783,77634.8053564774,13.9165953490178,390891.267770446,254905.802560946,599421.36147589,3109063.33710679,2265004.00548459,4267663.46140459,1.96216035277095,246.695311320767
"ECRE",1999,264058.043083897,153424.031011369,110634.012072528,15.0872702433942,50979.3540696189,43369.1704660857,59924.9308535399,462379.692336121,410185.595374888,521215.231094228,1.42015672480863,156.578400194401
"ECRE",2000,585113.731546348,477293.08008042,107820.651465927,14.6709010151639,139893.181678921,122439.620037002,159834.719140237,1154764.74014679,1046204.0678634,1274590.34623099,1.60062703381036,193.906863152542
"ECRE",2001,49613.6422109325,66270.9170392747,0,11.3933172226176,10900.5882207625,8959.88292782529,13261.6491215099,81502.4665889818,70483.5998882797,94243.9385987245,1.3323139199828,178.190992620654
"ECRE",2002,93259.8740718749,64606.6353196978,28653.2387521771,11.1862179104213,24021.359480402,18682.330219783,30886.1745027758,160016.918604987,132827.651179729,192771.715922224,1.39157943419447,208.900597047731
"ECRE",2003,242362.751879272,193340.819230825,49021.9326484475,13.0705322925524,60133.228156529,51131.7491793442,70719.3707737644,438548.001044923,388904.279428836,494528.755258119,1.46753404178787,201.22668248866
"ECRE",2004,667281.492095364,576051.865339943,91229.6267554213,14.3020616404055,172028.283781146,144711.301555904,204501.860618356,1360792.08221798,1197167.47757581,1546780.31746806,1.65393949412875,209.0873222815
"ECRE",2005,724099.989911191,596578.1359608,127521.853950391,13.5681492555389,206228.299511838,165050.042948635,257680.09968213,1512360.12877505,1282299.97991765,1783695.85504898,1.69392275182404,230.986523623861
"ECRE",2006,1638626.80313341,1469614.65998788,169012.143145526,15.8446174758326,396441.376119756,250769.075227585,626735.033245589,4126986.93182393,2939488.81643701,5794211.91882274,2.04263120704963,196.21664425044
"ECRE",2007,96262.9149685344,109630.491229014,0,12.1688734831205,22182.4003992937,18780.5208199796,26200.4921051556,163906.134598893,144887.248994704,185421.568464817,1.38093463839652,186.890168260806
"ECRE",2008,0,2273.31223730762,0,9.71835616929043,0,NA,NA,0,NA,NA,NA,NA
"ECRE",2009,163673.003139174,102314.68664704,61358.3164921349,12.7243766367619,38917.4974004765,32836.0219044998,46125.3073932362,285888.306786677,252072.170943518,324240.965003894,1.41662944605886,192.843398892743
"ECRE",2010,297932.347467289,204363.315031952,93569.0324353363,12.7060555994919,79993.2494790354,64727.2276751873,98859.7873266891,552129.166705651,471961.170277533,645914.613161532,1.50300337092595,217.757240277088
"ECRE",2011,207544.948089938,158369.776770396,49175.1713195419,12.9537532024614,50573.1409063082,43037.9417255159,59427.6231294061,370176.964883147,328471.962553946,417177.113884092,1.44655232321688,197.626274486009
"ECRE",2012,85391.8065739498,83519.4646465077,1872.3419274421,11.3304618037541,21316.3322121955,17006.4797258152,26718.4053552801,145665.310837187,123219.362087666,172200.070036055,1.38349266714909,202.457188582456
"ECRE",2013,199562.641909266,141896.055125578,57666.5867836879,12.620532574196,50199.8031608247,41743.7371473634,60368.8219981213,356135.196832822,310644.652307315,408287.338864858,1.44734670182914,204.013869405327
