"CY","DaysLT750","SupQ.acft","TQ.acft"
1965,30,9818.1765,789720.56397
1966,0,0,2380155.074385
1967,91,66287.5674,240552.266395
1968,50,41215.514865,666177.159815
1969,53,41017.167865,1240661.476735
1970,87,81848.881285,1340810.843975
1971,107,90011.85207,202882.204155
1972,127,135635.62901,216255.75063
1973,37,39455.18524,579080.01691
1974,53,56303.771155,1581525.75491
1975,62,45699.1488,422879.77094
1976,89,73681.8443865,340647.3857305
1977,93,92907.8174435,416723.7742745
1978,46,38333.0370875,706348.8735925
1979,92,91771.983348,1554637.637243
1980,100,110479.279,1186528.9110155
1981,92,90704.479794,488829.950093
1982,12,5364.294615,1274031.574362
1983,23,14351.397185,2800228.631969
1984,43,52354.285691,1968205.809921
1985,36,25361.3416345,717401.5618205
1986,38,43363.612875,964463.1800615
1987,56,53620.136245,1230760.8870565
1988,75,92328.0491625,727178.184624
1989,53,48505.8580235,495525.946466
1990,100,96269.0057055,255128.985772
1991,17,9949.08552,922264.359944
1992,32,34070.460884,943490.662496
1993,55,53051.87209,1230587.432605
1994,8,5730.24483,1633412.735069
1995,19,13249.5796,3379880.879974
1996,63,53910.7146,941008.944832
1997,62,49196.00641,751518.93177
1998,63,60001.355929,2594577.702041
1999,15,10236.68867,1576414.35272
2000,86,88921.736958,609735.735842
2001,47,33036.67632,811106.33751
2002,19,17026.10648,1491119.19231
2003,1,977.85071,2589759.25837
2004,43,38328.57428,1825752.39948
2005,5,2110.41208,3402158.81832
2006,75,74088.55491,926827.92772
2007,147,168569.16489,94663.08922
2008,49,37317.00458,929410.40566
2009,30,36755.68257,812806.1713
2010,33,37973.53315,1449726.15688
2011,51,50455.50986,542397.72273
2012,37,25594.69688,1034913.15843
2013,8,1820.82546,2468275.68781
2014,29,19836.68347,935414.36935
2015,47,36797.33544,1133140.54324
2016,0,0,2767888.74866
2017,0,0,1493.55291
