"Alt","high.prop","low.prop"
"LSM25B",0.00194808613699782,0.940399094403201
"LSMECB",0.0028431527404833,0.943189596167009
"ABNE",0.0336439740957195,0.932501447901859
"ECRE",0.00310640762386138,0.925340915073975
"ELOK",NA,0.940504396356552
"ESFL",0.0577054704364766,0.965092402464066
"ESLE",0.0111093560785552,0.936397620175854
"WAS",0.0241667982941084,0.997104196282841
"WRDC",0.0310114252619386,0.962143947770231
"WRDS",0.0164797556994682,0.949770968251461
"NAV",0.0396988364134154,0.997367451166219
"REC",0.000579160743431784,0.941399462960038
"SPAS",0.0018954351603222,0.914494813878797
"SPEF",0.00631811720107411,0.952824724898647
"SPLC",0.00331701153056385,0.979413468119834
